iner_ip,机房,资产编号,资产类别,机柜,U位置,机器型号,SN号,节点,状态,系统,互联网,高速交易,高速行情A,高速行情B,,,,
192.168.10.69,南方中心机房,,,304-M07,U26-27,嘉兴科技高频机,JX2020072107004,5号节点,,CentOS 7,10.20.80.169,10.224.123.45,172.16.34.69,172.16.22.69,,,,
192.168.10.144,南方中心机房,,,304-M10,U23,HP DL20-G10,CN79370GRP,7号节点,,CentOS 7.6,10.20.80.38,10.224.123.173,172.16.34.144,,,,,
192.168.10.12,南方中心机房,,,304-M07,U19,HP DL20-G10,CN79270946,5号节点,,,10.20.80.112,10.224.123.42,172.16.34.12,,,,,
192.168.10.70,南方中心机房,,,304-M03,U2,IBM X3550 M5,J32N8WH,5号节点,,CentOS 7.4,10.20.80.170,10.224.123.49,172.16.34.70,,,,,
192.168.10.71,南方中心机房,,,304-M03,U4-5,IBM X3650 M3,99X9352,5号节点,,Windows 2012,10.20.80.171,10.224.123.50,172.16.34.71,,,,,
192.168.10.72,南方中心机房,,,304-N07,U12-13,IBM X3650 M3,99C6967,9号节点,,CentOS 6.5,10.20.80.172,10.224.123.51,172.16.34.72,,,,,
192.168.10.73,南方中心机房,,,304-M03,U10,超微XENON RX99,s295906X8127251,5号节点,待回收,,10.20.80.173,10.224.123.52,172.16.34.73,,,,,
192.168.10.75,南方中心机房,,,304-M03,U15-16,网烁 NR2008,SN20200310171924-02,5号节点,,,10.20.80.175,10.224.123.54,172.16.34.75,,,,,
192.168.10.76,南方中心机房,,,304-M03,U24-25,GIGABYTE R282-Z90,6NR282Z90MR-00-102,5号节点,,Gentoo,10.20.80.176,10.224.123.55,172.16.34.76,172.16.22.76,,,,
192.168.10.77,南方中心机房,,,304-M07,U6-7,宝德PR2620P,PR2620P1907120009,5号节点,,AA001767,10.20.80.177,10.224.123.56,172.16.34.77,172.16.22.77,,,,
192.168.10.78,南方中心机房,,,304-M03,U27-28,先智达 RS2U-19/W,20190830AZ001,5号节点,,CentOS 6.9,10.20.80.178,10.224.123.57,,172.16.22.78,,,,
192.168.10.79,南方中心机房,,,304-M02,U2-3,HFT-91246F,TS10C2020041608,5号节点,,CentOS 7.7,10.20.80.179,10.224.123.60,172.16.34.79,172.16.22.79,,,,
192.168.10.80,南方中心机房,,,304-M02,U5,联想SR630,J3016N3A,5号节点,,,10.20.80.180,10.224.123.61,172.16.34.80,172.16.22.80,,,,
192.168.10.81,南方中心机房,,,304-M02,U7,联想SR630,J30163C9,5号节点,,Windows 2012,10.20.80.181,10.224.123.62,172.16.34.81,,,,,
192.168.10.82,南方中心机房,,,304-M02,U18-19,超微HFT-991846F,201909090004,5号节点,可共用,CentOS 7.6,10.20.80.182,10.224.123.63,172.16.34.82,,,,,
192.168.10.83,南方中心机房,,,304-M02,U12-13,超微HFT-991846F,201909090002,5号节点,,centos7.6,10.20.80.183,10.224.123.65,172.16.34.83,,,,,
192.168.10.86,南方中心机房,,,304-M02,U23,DL20 Gen10,CN79370GRT,5号节点,可共用,centos7.6,10.20.80.186,10.224.123.68,172.16.34.86,,,,,
192.168.10.87,南方中心机房,,,304-M02,U26-27,DELL R730XD,6XWS7C2,5号节点,回收,ubuntu18.04.2,10.20.80.187,10.224.123.69,172.16.34.87,,,,,
192.168.10.88,南方中心机房,,,304-M01,U6-7,HP 380 G9,6CU82478BW,5号节点,,,10.20.80.188,10.224.123.70,172.16.34.88,,,,,
192.168.10.91,南方中心机房,,,304-M01,U16-17,HP DL 380 Gen10,CN7023001R,5号节点,,,10.20.80.191,10.224.123.73,172.16.34.91,,,,,
192.168.10.92,南方中心机房,,,304-M01,U19-20,TESEND hft-9850,TS8C2020010610,5号节点,,Centos7.6,10.20.80.192,10.224.123.74,172.16.34.92,172.16.22.92,,,,
192.168.10.93,南方中心机房,,,304-M01,U22-23,DELL R730,H7VX1M2,5号节点,可共用,centos7.4,10.20.80.193,10.224.123.75,172.16.34.93,,,,,
192.168.10.95,南方中心机房,,,304-M01,U28-29,（超微 SYS-6029P-TR）AMAX 825-10,‘901002876,5号节点,,centos7.6,10.20.80.195,10.224.123.77,172.16.34.95,,,,,
192.168.10.96,南方中心机房,,,304-M01,U30-31,thinksystem SR550,J301K42Z,5号节点,,ubuntu18.04,10.20.80.196,10.224.123.78,172.16.34.96,,,,,
192.168.10.129,南方中心机房,,,304-M01,U25-26,网硕 NR2008,20200310171924-01,5号节点,,,10.20.80.88,10.224.123.79,172.16.34.129,172.16.22.129,,,,
192.168.10.101,南方中心机房,,,304-M08,U29-30,先智达RS2U-X299/W,200324AZ001,7号节点,,Centos7.6,10.20.80.21,10.224.123.129,172.16.34.101,,,,,
192.168.10.102,南方中心机房,,,304-M09,U12-13,Tensend HFT-91246F 10Cores,TS14C2020031810,7号节点,,Windows2016,10.20.80.22,10.224.123.130,172.16.34.102,172.16.22.102,,,,
192.168.10.103,南方中心机房,,,304-M08,U32-33,超微XENON Hft-91846f,服务器没有序列号,7号节点,可共用,Centos7.6,10.20.80.23,10.224.123.131,172.16.34.103,,,,,
192.168.10.104,南方中心机房,,,304-M08,U35-36,先智达 rs2u-x299/w,200325AZ001,7号节点,,Centos7.7,10.20.80.24,10.224.123.132,172.16.34.104,172.16.22.104,,,,
192.168.10.105,南方中心机房,,,304-M02,U9-10,HP DL360 Gen9,CN75520FWW,5号节点,,centos7.6,10.20.80.25,10.224.123.30,172.16.34.105,172.16.22.105,,,,
192.168.10.106,南方中心机房,,,304-M08,U17-18,Supermicro：HFT-91246F,HB18C2020032506,7号节点,,,10.20.80.26,10.224.123.134,172.16.34.106,172.16.22.106,,,,
192.168.10.107,南方中心机房,,,304-M08,U20-21,Supermicro：HFT-91246F,HB18C2020032504,7号节点,,,10.20.80.27,10.224.123.135,172.16.34.107,172.16.22.107,,,,
192.168.10.108,南方中心机房,,,304-M08,U14（15）,Dell PowerEdge R440,9350Z03,7号节点,,,10.20.80.28,10.224.123.136,172.16.34.108,172.16.22.108,,,,
192.168.10.109,南方中心机房,,,304-M08,U26(27),DELL R630,5QD74J2,7号节点,,,10.20.80.29,10.224.123.137,172.16.34.109,172.16.22.109,,,,
192.168.10.110,南方中心机房,,,304-M08,U23-24,嘉兴科技JX-TS9900KS,无序列号,7号节点,,,10.20.80.20,10.224.123.138,172.16.34.110,,,,,
192.168.10.111,南方中心机房,,,304-M08,U11-12,Supermicro：HFT-91846F,201901200006,7号节点,可共用,Centos7.6,10.20.80.40,10.224.123.133,172.16.34.111,172.16.22.111,,,,
192.168.10.112,南方中心机房,,,304-M08,U8-9,Dell R740,C51QNX2,7号节点,,windows 2016,10.20.80.41,10.224.123.139,172.16.34.112,172.16.22.112,,,,
192.168.10.113,南方中心机房,,,304-M08,U18-19,Dell R730,CKY2BV2,7号节点,,centOS7.4,10.20.80.42,10.224.123.140,172.16.34.113,172.16.22.113,,,,
192.168.10.114,南方中心机房,,,304-M09,U15-16,宝德服务器 PR2620P,PR2620P2003300001,7号节点,,centos 7.5,10.20.80.43,10.224.123.141,172.16.34.114,172.16.22.114,,,,
192.168.10.115,南方中心机房,,,304-M09,U21-22,超微：HFT-991846F,‘201908190008,7号节点,,,10.20.80.44,10.224.123.142,172.16.34.115,172.16.22.115,,,,
192.168.10.116,南方中心机房,,,304-M10,U8-9,超微 HFT-91846f,‘2019041100004,7号节点,,,10.20.80.45,10.224.123.143,172.16.34.116,172.16.22.116,,,,
192.168.10.117,南方中心机房,,,304-M10,U11-12,Dell R740,CBV6Y23,7号节点,,Centos7.6,10.20.80.46,10.224.123.147,172.16.34.117,172.16.22.117,,,,
192.168.10.119,南方中心机房,,,304-M10,U17-18,tensend HFT-8650,TS201908100002,7号节点,,,10.20.80.48,10.224.123.149,172.16.34.119,172.16.22.119,,,,
192.168.10.122,南方中心机房,,,304-M10,U25-26,Dell R740,9VCB143,7号节点,,ubuntu18.04.03,10.20.80.81,10.224.123.152,172.16.34.122,172.16.22.122,,,,
192.168.10.124,南方中心机房,,,304-M11,U32-33,Dell R740,CST4W33,7号节点,,Centos7.6,10.20.80.83,10.224.123.154,172.16.34.124,172.16.22.124,,,,
192.168.10.125,南方中心机房,,,304-M11,U29-30,Dell R740,2VMJB43,7号节点,,Centos7.6,10.20.80.84,10.224.123.155,172.16.34.125,172.16.22.125,,,,
192.168.10.126,南方中心机房,,,304-M11,U20-21,HFT-91846F,HX18C2020042808,7号节点,已回收,Windows2016,10.20.80.85,10.224.123.156,172.16.34.126,172.16.22.126,,,,
192.168.10.127,南方中心机房,,,304-M11,U26-27,Dell R740,59LLB43,7号节点,,Centos7.6,10.20.80.86,10.224.123.157,172.16.34.127,172.16.22.127,,,,
192.168.10.128,南方中心机房,,,304-M11,U23-24,HP 388 Gen10,CN79250P1W,7号节点,,,10.20.80.87,10.224.123.158,172.16.34.128,172.16.22.128,,,,
192.168.10.130,南方中心机房,,,304-M11,U17-18,Dell R630,H4X4S52,7号节点,,ubuntu 16.04,10.20.80.89,10.224.123.159,172.16.34.130,172.16.22.130,,,,
192.168.10.131,南方中心机房,,,304-M11,U14-15,HP DL360 Gen10,CN783805GB,7号节点,,centos7.8,10.20.80.90,10.224.123.160,172.16.34.131,172.16.22.131,,,,
192.168.10.133,南方中心机房,,,M11-U8,U8,HP DL360 Gen10,CN79240CWM,7号节点,,Ubuntu18.04,10.20.80.92,10.224.123.162,172.16.34.133,172.16.22.133,,,,
192.168.10.137,南方中心机房,,,304-M10,U28,Dell R340,83SB053,7号节点,,Windows2016,10.20.80.96,10.224.123.166,172.16.34.137,172.16.22.137,,,,
192.168.10.140,南方中心机房,,,304-M10,U34-35,嘉兴科技高频机007,JX2020071307001,7号节点,,centos7.6,10.20.80.99,10.224.123.169,172.16.34.140,172.16.22.140,,,,
192.168.10.141,南方中心机房,,,304-M08,U38-39,宝德PR2620P,PR2620P1907120009,7号节点,,centos7.6,10.20.80.100,10.224.123.170,172.16.34.141,172.16.22.141,,,,
192.168.10.142,南方中心机房,,,304-M10,U31-32,嘉兴科技高频006,JX2020071707003,7号节点,,entos7.6,10.20.80.36,10.224.123.171,172.16.34.142,172.16.22.142,,,,
192.168.10.143,南方中心机房,,,304-M10,U14-15,HP DL380-G10,CN792801YF,7号节点,,windows 2016,10.20.80.37,10.224.123.172,172.16.34.143,172.16.22.143,,,,
